genotype,treatment,geno_num,rep,num_of_plants,root_weigher,wet_root_wt,root_biomass_wet_wt,root_amf_wet_wt,dry_root_wt,dry_root_wt_date,root_wt_notes,harvest_date,paper_towel,numeric_pt,algea_color,algea_color_one,algea_color_two,shoot_wt,shoot_weigher,purpleness,shoot_weigh_date,weigh_notes,gh_notes,centipede,harvest_notes,num_shoot_wt
535793,S,29,Z,2,J,4.32,3.45,0.87,1.47,58:18:00,NA,45490,NA,NA,NA,NA,NA,1.77,ET,1,35:52.8,NA,"Reseeded 29 Apr, sprouted ~9 may",n,NA,0.885
542718,L,30,A,1,WW,NA,NA,NA,2.17,51:21:00,NA,45475,NA,NA,NA,NA,NA,5.52,ET,1,01:56.1,NA,NA,n,NA,5.52
542718,L,30,B,1,WW,NA,NA,NA,1.97,51:16:00,NA,45475,med,2,NA,NA,NA,5.26,ET,1,03:19.0,NA,"No germ, transplanted 26 Apr",n,NA,5.26
542718,L,30,C,1,LEY,NA,NA,NA,0.85,52:10:00,NA,45471,some,1,orange,orange,NA,2.32,MC,0,32:32.9,NA,"No germ, transplanted 26 Apr",n,NA,2.32
542718,S,30,X,1,LEY,NA,NA,NA,1.73,31:18:00,NA,45477,very little,1,NA,NA,NA,3.7,ET,1,58:28.4,NA,NA,n,NA,3.7
542718,S,30,Y,1,R,NA,NA,NA,2.19,22:52:00,NA,17 Jul or 9 Jul or 27 Jun,NA,NA,NA,NA,NA,4.04,WW,NA,15:57.9,NA,"No germ, transplanted 26 Apr",n,NA,NA
542718,S,30,Z,1,LEY,NA,NA,NA,2.01,54:33:00,NA,45460,NA,NA,NA,NA,NA,4.67,ET,1,30:33.4,NA,NA,n,NA,4.67
562732,L,31,A,1,LEY,NA,NA,NA,2.07,04:05:00,NA,45474,very little,1,green red,green,red,2.77,ET,1,31:14.0,NA,"No germ, transplanted 26 Apr",n,NA,2.77
562732,L,31,B,2,LEY,NA,NA,NA,2.84,58:53:00,NA,45474,NA,NA,black,black,NA,3.3,ET,0,23:54.2,NA,NA,n,NA,1.65
562732,L,31,C,1,J,NA,NA,NA,2.7,22:42:00,NA,45461,Big,3,NA,NA,NA,3.33,ET,0,41:32.9,NA,NA,n,NA,3.33
562732,S,31,X,2,J,NA,NA,NA,2.79,35:28:00,NA,45464,NA,NA,NA,NA,NA,4.12,MC,1,16:41.4,NA,NA,n,NA,2.06
562732,S,31,Y,1,J,NA,NA,NA,3.99,57:49:00,NA,45464,small,1,NA,NA,NA,4.14,MC,1,06:35.7,NA,NA,n,NA,4.14
562732,S,31,Z,2,LEY,NA,NA,NA,4.63,33:58:00,NA,45463,big,3,NA,NA,NA,6.16,MC,0,30:49.8,NA,NA,n,1 guess,3.08
562781,L,32,A,1,LEY,NA,NA,NA,1.63,21:43:00,NA,45471,NA,NA,NA,NA,NA,2.58,MC,0,56:28.6,NA,NA,n,NA,2.58
562781,L,32,B,2,J,NA,NA,NA,3.86,22:42:00,NA,45461,NA,NA,black,black,NA,2.41,ET,1,25:42.5,Purple + Red,NA,n,1 guess,1.205
562781,L,32,C,2,LEY,NA,NA,NA,2.49,17:17:00,NA,45463,NA,NA,NA,NA,NA,3.04,MC,0,36:34.6,NA,NA,n,NA,1.52
562781,S,32,X,2,LEY,NA,NA,NA,3.33,45:36:00,NA,45463,small,1,yellow,yellow,NA,3.75,MC,0,40:14.0,NA,NA,n,1 guess,1.875
562781,S,32,Y,2,R,NA,NA,NA,3.44,03:04:00,NA,17 Jul or 9 Jul or 27 Jun,NA,NA,NA,NA,NA,3.46,WW,NA,10:36.5,NA,NA,n,NA,NA
562781,S,32,Z,1,LEY,NA,NA,NA,3.81,34:36:00,NA,45471,NA,NA,green,green,NA,3.07,MC,0,11:24.6,NA,NA,n,NA,3.07
562997,L,33,A,3,LEY,NA,NA,NA,3.43,17:43:00,NA,45471,some,1,black red,black,red,4.67,MC,1,30:29.4,NA,NA,n,NA,1.556666667
562997,L,33,B,2,RP,NA,NA,NA,2.69,17:23:00,NA,45475,small,1,NA,NA,NA,2.99,ET,2,26:37.5,NA,NA,n,NA,1.495
562997,L,33,C,1,LEY,NA,NA,NA,2.97,28:08:00,NA,45474,Big,3,pink,pink,NA,3.82,ET,1,28:12.6,NA,"No germ, transplanted 26 Apr",n,NA,3.82
562997,S,33,X,1,RP,NA,NA,NA,3.11,14:03:00,NA,45462,NA,NA,NA,NA,NA,3.58,ET,1,48:08.4,NA,NA,n,NA,3.58
562997,S,33,Y,3,LEY,NA,NA,NA,2.49,48:17:00,NA,45471,disintegrated,0,NA,NA,NA,3.54,MC,0,48:51.0,NA,NA,n,NA,1.18
562997,S,33,Z,2,LEY,NA,NA,NA,1.93,23:56:00,NA,45473,1,3,black red,black,red,2.3,ET,1,42:36.9,Purple/Red Dotting,"No germ, transplanted 26 Apr",n,Orange/Red Black,1.15
563006,L,34,B,1,RP,NA,NA,NA,2.22,14:03:00,NA,45462,little,1,NA,NA,NA,3.38,ET,0,47:53.1,NA,NA,n,NA,3.38
563006,L,34,C,1,J,NA,NA,NA,2.63,09:33:00,NA,45461,NA,NA,green,green,NA,2.26,ET,0,59:14.8,NA,NA,n,Green PT? in water,2.26
563006,S,34,Y,1,LEY,NA,NA,NA,2.51,53:36:00,NA,45474,very little,1,black red,black,red,2.22,ET,1,29:40.7,NA,NA,n,red orange,2.22
563329,L,35,A,1,J,NA,NA,NA,3.9,09:33:00,NA,45461,NA,NA,NA,NA,NA,4.14,ET,1,50:06.1,NA,"No germ, transplanted 26 Apr",n,NA,4.14
563329,L,35,B,3,J,NA,NA,NA,2.38,22:42:00,NA,45464,NA,NA,NA,NA,NA,2.7,MC,4,16:41.4,NA,white moldy soil for a few days,y,centipede,0.9
563329,L,35,C,1,J,NA,NA,NA,1.7,22:42:00,NA,45461,NA,NA,NA,NA,NA,1.61,ET,2,47:44.4,NA,"No germ, transplanted 26 Apr",n,NA,1.61
563329,S,35,X,2,LEY,NA,NA,NA,3.5,39:47:00,NA,45463,NA,NA,NA,NA,NA,4.01,MC,3,33:27.9,NA,NA,n,1 guess,2.005
563329,S,35,Y,2,LEY,NA,NA,NA,3.67,02:54:00,NA,45471,1,3,black,black,NA,6.51,MC,1,53:09.9,NA,"No germ, transplanted 26 Apr",n,1 is seeding,3.255
563329,S,35,Z,1,R,NA,NA,NA,3.58,04:37:00,NA,45470,1,3,black red,black,red,5.48,MC,2,06:35.7,NA,NA,n,NA,5.48
563330,L,36,A,1,WW,NA,NA,NA,2.6,51:16:00,NA,45475,NA,NA,NA,NA,NA,4.39,ET,1,49:35.3,NA,"No germ, transplanted 26 Apr",n,NA,4.39
563330,L,36,B,1,LEY,NA,NA,NA,2.18,41:44:00,NA,45473,some,1,black,black,NA,5.66,ET,1,38:26.3,NA,NA,n,NA,5.66
563330,L,36,C,1,RP,NA,NA,NA,2.81,14:03:00,NA,45462,1,3,black,black,NA,3.51,ET,1,45:55.6,NA,NA,n,NA,3.51
563330,S,36,X,1,LEY,NA,NA,NA,2.85,34:46:00,NA,45472,1,3,black green,black,green,4.55,ET,1,10:42.0,NA,NA,n,NA,4.55
563330,S,36,Y,2,LEY,NA,NA,NA,3.01,25:45:00,NA,45463,NA,NA,NA,NA,NA,3.71,MC,1,44:52.2,NA,NA,n,1 guess,1.855
563330,S,36,Z,1,RP,NA,NA,NA,2.81,15:05:00,NA,45475,big,3,black,black,NA,5.2,ET,0,00:43.8,NA,"No germ, transplanted 26 Apr",n,NA,5.2
563348,L,37,A,1,RP,NA,NA,NA,3.46,02:13:00,NA,45475,med,2,NA,NA,NA,4.63,ET,1,31:48.6,NA,"No germ, transplanted 26 Apr",n,NA,4.63
563348,L,37,B,1,LEY,NA,NA,NA,3.25,22:42:00,NA,45476,very little,1,NA,NA,NA,4.79,ET,0,53:50.2,NA,"No germ, transplanted 26 Apr",n,NA,4.79
563348,L,37,C,1,LEY,NA,NA,NA,1.9,22:42:00,NA,45476,NA,NA,NA,NA,NA,2.01,ET,1,13:44.5,NA,NA,n,NA,2.01
563348,S,37,X,3,LEY,NA,NA,NA,2.56,30:06:00,NA,45473,NA,NA,NA,NA,NA,4.76,ET,1,40:38.2,Red striping,NA,n,NA,1.586666667
563348,S,37,Y,1,WW,NA,NA,NA,6.1,51:16:00,NA,45475,med,2,NA,NA,NA,5.66,ET,1,51:39.7,NA,NA,n,NA,5.66
563348,S,37,Z,1,RP,NA,NA,NA,2.36,14:03:00,NA,45471,1,3,black green,black,green,2.87,MC,0,42:24.8,NA,NA,n,NA,2.87
564163,L,38,A,1,RP,NA,NA,NA,1.32,36:33:00,NA,45475,1,3,NA,NA,NA,1.75,ET,1,53:54.5,NA,NA,n,NA,1.75
564163,L,38,B,3,RP,NA,NA,NA,1.52,14:03:00,NA,45462,1,3,black orange,black,orange,1.76,ET,1,30:28.8,NA,NA,n,NA,0.586666667
564163,L,38,C,2,J,NA,NA,NA,2.37,22:42:00,NA,45464,NA,NA,NA,NA,NA,2.9,MC,0,16:41.4,NA,NA,n,NA,1.45
564163,S,38,X,2,J,NA,NA,NA,2.17,22:42:00,NA,45461,small,1,NA,NA,NA,2.68,ET,1,46:10.3,NA,NA,n,1 guess,1.34
564163,S,38,Y,2,J,NA,NA,NA,1.69,01:09:00,NA,45464,NA,NA,NA,NA,NA,1.27,MC,1,16:41.4,NA,NA,n,1 guess,0.635
564163,S,38,Z,2,LEY,NA,NA,NA,1.94,14:03:00,NA,45463,teeny,1,NA,NA,NA,2.19,MC,1,37:57.5,NA,NA,n,NA,1.095
641815,L,39,A,3,LEY,NA,NA,NA,3.54,47:54:00,NA,45463,small,1,NA,NA,NA,3.77,MC,2,29:14.8,NA,NA,n,2 guessed,1.256666667
641815,L,39,B,2,LEY,NA,NA,NA,2.83,23:06:00,NA,45472,some,1,black,black,NA,3.44,ET,3,12:58.5,NA,NA,n,NA,1.72
641815,L,39,C,2,LEY,NA,NA,NA,1.67,18:51:00,NA,45471,NA,NA,red purple,red,purple,3.15,MC,2,34:56.4,NA,NA,n,NA,1.575
641815,S,39,X,2,J,NA,NA,NA,3.05,09:33:00,NA,45461,Big,3,black,black,NA,4.3,ET,2,16:22.7,NA,NA,n,1 guess,2.15
641815,S,39,Y,2,RP,NA,NA,NA,2.66,14:03:00,NA,45462,NA,NA,NA,NA,NA,3.59,ET,1,28:41.7,NA,NA,n,NA,1.795
641815,S,39,Z,3,J,NA,NA,NA,2.6,22:17:00,NA,45464,small,1,black,black,NA,3.4,MC,1,16:41.4,NA,NA,n,NA,1.133333333
655983,L,40,C,1,J,NA,NA,NA,1.31,20:54:00,NA,45490,NA,NA,NA,NA,NA,1.46,ET,1,30:50.4,NA,"Reseeded 29 Apr, reseeded 14 Mar , sprouted ~28 may",n,NA,1.46
655983,S,40,X,1,J,NA,NA,NA,2.02,02:29:00,NA,45490,NA,NA,NA,NA,NA,2.82,ET,1,29:51.6,NA,"Reseeded 29 Apr, reseeded 14 Mar",n,NA,2.82
92270,L,41,A,1,RP,NA,NA,NA,2.23,14:03:00,NA,45462,1,3,black,black,NA,6.38,ET,1,28:39.6,NA,NA,n,NA,6.38
92270,L,41,B,1,LEY,NA,NA,NA,2.34,18:10:00,NA,45473,1,3,black green,black,green,8.97,ET,2,38:00.1,NA,NA,n,NA,8.97
92270,L,41,C,1,RP,NA,NA,NA,2.88,00:32:00,NA,45462,NA,NA,NA,NA,NA,6.16,ET,0,22:58.4,NA,NA,n,NA,6.16
92270,S,41,X,1,RP,NA,NA,NA,2.7,14:03:00,NA,45462,NA,NA,NA,NA,NA,5.33,ET,1,17:04.4,NA,NA,n,NA,5.33
92270,S,41,Y,1,LEY,NA,NA,NA,1.85,49:45:00,2.53,45471,1,3,black green,black,green,9.15,MC,2,46:52.6,NA,NA,n,NA,9.15
92270,S,41,Z,2,LEY,NA,NA,NA,2.1,01:02:00,NA,45471,1,3,black green,black,green,8.3,MC,4,16:41.4,NA,NA,n,NA,4.15
E29W1,L,42,A,2,LEY,NA,NA,NA,2,33:19:00,NA,45463,1,3,yellow,yellow,NA,3.21,MC,1,24:37.4,NA,Used 42B bag for all,n,NA,1.605
E29W1,L,42,B,1,LEY,NA,NA,NA,1.47,28:08:00,NA,45471,some,1,black green,black,green,2.79,MC,2,44:57.7,NA,"No germ, transplanted 26 Apr",n,NA,2.79
E29W1,L,42,C,1,RP,NA,NA,NA,2.81,14:03:00,NA,45462,NA,NA,NA,NA,NA,2.84,ET,2,39:32.3,P = High 1 / Low 2,NA,n,NA,2.84
E29W1,S,42,X,1,RP,NA,NA,NA,2.12,14:03:00,NA,45462,NA,NA,NA,NA,NA,2.69,ET,2,37:40.5,NA,NA,n,NA,2.69
E29W1,S,42,Y,1,J,NA,NA,NA,1.46,22:42:00,NA,45461,NA,NA,NA,NA,NA,2.34,ET,1,28:42.2,NA,"No germ, transplanted 26 Apr",n,NA,2.34
E29W1,S,42,Z,3,RP,NA,NA,NA,3.89,14:03:00,NA,45462,very little,1,NA,NA,NA,4.53,ET,1,45:12.7,NA,NA,n,NA,1.51
