genotype,treatment,geno_num,rep,num_of_plants,root_weigher,wet_root_wt,root_biomass_wet_wt,root_amf_wet_wt,dry_root_wt,dry_root_wt_date,root_wt_notes,harvest_date,paper_towel,numeric_pt,algea_color,algea_color_one,algea_color_two,shoot_wt,shoot_weigher,purpleness,shoot_weigh_date,weigh_notes,gh_notes,centipede,harvest_notes,num_shoot_wt
155149,L,3,C,1,J,NA,NA,NA,1.32,16:01:00,NA,45490,NA,NA,NA,NA,NA,1.26,ET,2,49:36.8,NA,"Reseeded 26 Apr, reseeded 14 Mar , sprouted ~22 may",n,Check the tag. this may be 3 Y,1.26
155149,S,3,X,1,LEY,NA,NA,NA,2.27,11:57:00,NA,45471,disintegrated,0,black,black,NA,4.39,MC,3,26:20.5,NA,NA,n,NA,4.39
155149,S,3,Y,1,J,3.3,2.97,0.33,0.75,04:48:00,NA,45490,45296,1,NA,NA,NA,1.26,ET,1,51:52.4,We're pretty sure this is 3Y,"Reseeded 26 Apr, sprouted?",n,no bag 3C 3Y 3C3Y3C yes,1.26
155149,S,3,Z,1,RP,NA,NA,NA,0.44,14:03:00,NA,45462,NA,NA,NA,NA,NA,0.4,ET,0,39:42.3,NA,"Reseeded 26 Apr, sprouted ~9 may",n,NA,0.4
156203,L,4,A,3,R,NA,NA,NA,1.36,28:22:00,NA,45470,1,3,yellow,yellow,NA,1.4,MC,1,06:35.7,NA,NA,n,NA,0.466666667
156203,L,4,B,3,RP,NA,NA,NA,1.98,14:03:00,NA,45462,small,1,NA,NA,NA,1.77,ET,2,06:27.6,P = High 1 / Low 2,NA,n,NA,0.59
156203,L,4,C,1,RP,NA,NA,NA,2.72,14:03:00,NA,45462,some,1,orange,orange,NA,2.18,ET,1,56:12.5,NA,NA,n,NA,2.18
156203,S,4,X,3,RP,NA,NA,NA,1.88,14:03:00,NA,45462,NA,NA,NA,NA,NA,1.56,ET,1,15:11.2,NA,NA,n,NA,0.52
156203,S,4,Y,1,LEY,NA,NA,NA,1.05,22:42:00,NA,45476,very little,1,NA,NA,NA,1.3,ET,2,26:16.2,NA,NA,n,NA,1.3
156203,S,4,Z,3,J,NA,NA,NA,1.49,39:11:00,NA,45464,1,3,NA,NA,NA,1.46,MC,1,16:41.4,NA,NA,n,2 shoot missing,0.486666667
156487,L,5,A,1,WW,NA,NA,NA,1.99,59:39:00,NA,45475,NA,NA,NA,NA,NA,2.61,ET,1,23:54.2,NA,NA,y,centipede,2.61
156487,L,5,B,2,RP,NA,NA,NA,3.05,14:03:00,NA,45462,1,3,orange,orange,NA,3.3,ET,0,19:39.1,NA,NA,n,NA,1.65
156487,L,5,C,3,J,NA,NA,NA,2.3,22:42:00,NA,45464,big,3,pink,pink,NA,2.09,MC,0,16:41.4,NA,NA,n,NA,0.696666667
156487,S,5,X,2,LEY,NA,NA,NA,2.02,57:38:00,NA,45463,NA,NA,NA,NA,NA,2.37,MC,1,35:11.6,NA,NA,y,"1 guess, centipede",1.185
156487,S,5,Y,1,LEY,NA,NA,NA,4.11,22:42:00,NA,45476,little,1,NA,NA,NA,5.07,ET,2,52:17.8,NA,NA,n,NA,5.07
156487,S,5,Z,1,WW,NA,NA,NA,2.75,51:16:00,NA,45475,NA,NA,NA,NA,NA,3.45,ET,2,00:43.8,NA,NA,n,NA,3.45
157033,L,6,B,1,LEY,NA,NA,NA,2.12,03:59:00,NA,45460,NA,NA,black red,black,red,3.69,ET,2,27:39.7,NA,NA,n,pink red black,3.69
157033,S,6,X,1,RP,NA,NA,NA,0.49,14:03:00,NA,45462,stayed at bottom,3,NA,NA,NA,0.25,ET,0,14:21.7,NA,Reseeded 26 Apr,n,NA,0.25
157033,S,6,Y,1,LEY,NA,NA,NA,0.87,29:03:00,NA,45472,very little,1,orange,orange,NA,1.53,ET,1,08:31.5,NA,"Reseeded 26 Apr, sprouted ~9 may",n,NA,1.53
157033,S,6,Z,1,LEY,NA,NA,NA,1.47,22:42:00,NA,45476,little bit,1,NA,NA,NA,2.69,ET,2,27:12.4,NA,NA,n,NA,2.69
179749,L,8,A,1,J,NA,NA,NA,2.29,22:42:00,NA,45464,small,1,NA,NA,NA,3.96,MC,1,06:35.7,NA,NA,n,NA,3.96
179749,L,8,B,2,RP,NA,NA,NA,1.72,14:03:00,NA,45462,little,1,green,green,NA,3.08,ET,0,51:16.7,NA,NA,n,NA,1.54
179749,L,8,C,1,J,1.43,1.3,0.13,0.72,14:56:00,NA,45482,NA,NA,NA,NA,NA,1.61,ET,0,01:20.4,NA,"No germ, transplanted 26 Apr",n,NA,1.61
179749,S,8,X,1,LEY,NA,NA,NA,2.52,22:42:00,NA,45476,NA,NA,NA,NA,NA,7.09,ET,0,28:20.6,NA,NA,n,NA,7.09
179749,S,8,Y,3,RP,NA,NA,NA,2.82,14:03:00,NA,45462,NA,NA,NA,NA,NA,5.17,ET,1,26:10.5,NA,NA,n,NA,1.723333333
179749,S,8,Z,1,LEY,NA,NA,NA,1.88,47:51:00,NA,45460,NA,NA,NA,NA,NA,3.72,ET,1,24:00.3,NA,NA,n,NA,3.72
181080,L,9,B,1,RP,NA,NA,NA,2.39,40:55:00,NA,45475,small,1,NA,NA,NA,4.43,ET,2,21:25.6,NA,"Reseeded 26 Apr, sprouted ~9 may",n,NA,4.43
181080,L,9,C,1,J,NA,NA,NA,1.92,48:46:00,NA,45464,NA,NA,NA,NA,NA,3.23,MC,3,18:18.1,NA,NA,n,hole in soil (maybe a plant was pulled),3.23
181080,S,9,X,1,LEY,NA,NA,NA,2,50:08:00,NA,45474,NA,NA,NA,NA,NA,6.6,ET,1,16:28.4,NA,NA,n,NA,6.6
