genotype,treatment,geno_num,rep,num_of_plants,root_weigher,dry_root_wt,dry_root_wt_date,root_wt_notes,harvest_date,numeric_pt,algea_color_one,algea_color_two,shoot_wt,shoot_weigher,purpleness,shoot_weigh_date,weigh_notes,seed_or_reseed_date,sprout_date,transplant_date,gh_notes,centipede,harvest_notes,shoot_wt_by_num,total_biomass,total_biomass_by_num,seed_to_harvest,sprout_or_transplant_to_harvest
181083,S,10,X,1,J,0.9,2024-12-06T15:07:00Z,,7/17/2024,NA,,,1.36,ET,1,2024-08-23T14:43:00Z,,5/14/2024,5/20/2024,NA,"Reseeded 26 Apr, reseeded 14 May , sprouted ~20 may",n,,1.36,2.26,2.26,64,58
181083,S,10,Y,1,J,1.56,2024-12-11T12:02:00Z,,7/17/2024,NA,,,2.22,ET,2,2024-08-23T13:30:00Z,,5/14/2024,5/28/2024,NA,"Reseeded 26 Apr, reseeded 14 May, sprouted ~28 may",n,,2.22,3.78,3.78,64,50
181083,S,10,Z,1,LEY,1.41,2025-01-06T14:22:00Z,,7/3/2024,1,,,4.11,ET,1,2024-09-04T10:29:00Z,,4/26/2024,5/9/2024,NA,"Reseeded 26 Apr, sprouted ~9 may",n,,4.11,5.52,5.52,68,55
217691,L,11,A,1,LEY,2.06,2024-12-17T14:56:00Z,,7/9/2024,NA,,,3.71,WW,NA,2025-02-17T14:19:00Z,,4/4/2024,NA,4/26/2024,"No germ, transplanted 26 Apr",n,17 Jul or 9 Jul or 27 Jun,3.71,5.77,5.77,NA,74
217691,L,11,B,1,RP,2.78,2024-12-18T09:52:00Z,,6/27/2024,NA,,,3.49,WW,NA,2025-02-17T14:20:00Z,,4/4/2024,4/11/2024,NA,,n,17 Jul or 9 Jul or 27 Jun,3.49,6.27,6.27,84,77
217691,L,11,C,1,J,3.38,2025-01-14T13:09:00Z,,6/18/2024,NA,black,,3.88,ET,2,2024-08-26T13:32:00Z,,4/4/2024,4/11/2024,NA,,y,Centipede,3.88,7.26,7.26,75,68
217691,S,11,X,1,J,2.04,2025-01-14T13:09:00Z,,6/18/2024,NA,,,2.27,ET,2,2024-08-26T13:53:00Z,,4/4/2024,4/11/2024,NA,,n,,2.27,4.31,4.31,75,68
217691,S,11,Y,1,J,1.31,2024-12-06T15:09:00Z,,7/17/2024,NA,,,1.97,ET,3,2024-08-23T13:53:00Z,,5/14/2024,5/20/2024,NA,"Reseeded 26 Apr, reseeded 14 May, sprouted ~20 may",n,,1.97,3.28,3.28,64,58
217691,S,11,Z,1,LEY,1.18,2024-12-31T12:24:00Z,,6/28/2024,NA,black,,3.95,MC,3,2024-08-19T16:15:00Z,,4/4/2024,4/11/2024,NA,,n,,3.95,5.13,5.13,85,78
218112,L,12,A,2,LEY,1.94,2024-12-31T10:46:00Z,,6/20/2024,1,,,3.16,MC,1,2024-08-19T15:43:00Z,,4/4/2024,4/11/2024,NA,,n,1 guess,1.58,5.1,2.55,77,70
